provider_id,holding_company,technology_code,technology_code_desc,area_stationary,area_invehicle
130011,"Adak Eagle Enterprises, LLC",300,3G,99,0
130018,"Agri-Valley Communications, Inc.",400,4G LTE,6702,3921
130067,"Arctic Slope Telephone Association Cooperative, Inc.",400,4G LTE,14115,5991
130077,AT&T Inc.,400,4G LTE,5696378,4987413
130077,AT&T Inc.,500,5G-NR (35/3 Mbps),1746359,803483
130077,AT&T Inc.,500,5G-NR (7/1 Mbps),2712469,1121805
130081,"ATN International, Inc.",300,3G,201405,132292
130081,"ATN International, Inc.",400,4G LTE,92546,59573
130349,Copper Valley Telephone Cooperative,400,4G LTE,18841,13472
130352,"Cordova Telephone Cooperative, Inc.",400,4G LTE,19372,14064
130366,"NBVDS Investments, LLC",400,4G LTE,12120,4399
130378,Custer Telephone Cooperative Inc.,400,4G LTE,3604,3238
130403,"T-Mobile USA, Inc.",400,4G LTE,3631689,984093
130403,"T-Mobile USA, Inc.",500,5G-NR (7/1 Mbps),2792835,639923
130403,"T-Mobile USA, Inc.",500,5G-NR (35/3 Mbps),1610298,279050
130431,"Eagle Telephone Systems, Inc.",400,4G LTE,4257,3322
130434,"East Kentucky Network, LLC",400,4G LTE,19084,15289
130490,"Farmers Telephone Cooperative, Inc. (SC)",400,4G LTE,12147,10754
130534,GCI Holdings LLC,300,3G,126786,80833
130534,GCI Holdings LLC,400,4G LTE,19189,16318
130534,GCI Holdings LLC,500,5G-NR (7/1 Mbps),5133,4092
130534,GCI Holdings LLC,500,5G-NR (35/3 Mbps),4169,2929
130673,James Valley Cooperative Telephone Company,400,4G LTE,16114,12242
130673,James Valley Cooperative Telephone Company,500,5G-NR (7/1 Mbps),11858,7817
130741,Liberty Latin America Ltd.,400,4G LTE,1465,1324
130741,Liberty Latin America Ltd.,500,5G-NR (35/3 Mbps),587,416
130741,Liberty Latin America Ltd.,500,5G-NR (7/1 Mbps),10687,9137
130886,"NE Colorado Cellular, Inc.",300,3G,182512,112948
130886,"NE Colorado Cellular, Inc.",400,4G LTE,75185,28957
130890,"Nemont Telephone Cooperative, Inc.",300,3G,38720,32515
130890,"Nemont Telephone Cooperative, Inc.",400,4G LTE,41469,32306
130926,North Carolina RSA 3 Cellular Telephone Company,400,4G LTE,4328,2383
130926,North Carolina RSA 3 Cellular Telephone Company,500,5G-NR (35/3 Mbps),682,397
130926,North Carolina RSA 3 Cellular Telephone Company,500,5G-NR (7/1 Mbps),1041,631
130937,"Northeast Communications of Wisconsin, Inc.",400,4G LTE,40215,23113
